NAME,Description,RiskValue
DIAGNOSTIC,Allows applications to RW to diagnostic resources.,
DISABLE_KEYGUARD,Allows applications to disable the keyguard,
DUMP,Allows an application to retrieve state dump information from system services.,
EXPAND_STATUS_BAR,Tillater appen å utvide eller minimere statuslinjen.,
FACTORY_TEST,"Run as a manufacturer test application, running as the root user.",
FLASHLIGHT,Allows access to the flashlight,
FORCE_BACK,Allows an application to force a BACK operation on whatever is the top activity.,
GET_ACCOUNTS,Lar appen hente listen over kontoene telefonen kjenner. Dette kan inkludere kontoer som er opprettet av apper du har installert.,
GET_PACKAGE_SIZE,Allows an application to find out the space used by any package.,
GET_TASKS,This constant was deprecated in API level 21. No longer enforced.,
GET_TOP_ACTIVITY_INFO,"Allows an application to retrieve private information about the current top activity, such as any assist context it can provide.",
GLOBAL_SEARCH,This permission can be used on content providers to allow the global search system to access their data.,
HARDWARE_TEST,Allows access to hardware peripherals.,
INJECT_EVENTS,"Allows an application to inject user events (keys, touch, trackball) into the event stream and deliver them to ANY window.",
INSTALL_LOCATION_PROVIDER,Allows an application to install a location provider into the Location Manager.,
INSTALL_PACKAGES,Allows an application to install packages.,
INSTALL_SHORTCUT,Gir appen tillatelse til å opprette snarveier og legge dem til på startskjermbildet.,
INTERNAL_SYSTEM_WINDOW,Allows an application to open windows that are for use by parts of the system user interface.,
INTERNET,"Lar appen opprette nettverkskontakter og bruke tilpassede nettverksprotokoller. Nettleseren og andre apper gjør det mulig å sende data til internett, så denne tillatelsen er ikke nødvedlig for å kunne sende data til internett.",
KILL_BACKGROUND_PROCESSES,Allows an application to call killBackgroundProcesses(String).,
LOCATION_HARDWARE,"Allows an application to use location features in hardware, such as the geofencing api.",
MANAGE_ACCOUNTS,Tillater en app å legge til og fjerne kontoer og å slette passordet.,
MANAGE_APP_TOKENS,"Allows an application to manage (create, destroy, Z-order) application tokens in the window manager.",
MANAGE_DOCUMENTS,"Allows an application to manage access to documents, usually as part of a document picker.",
MASTER_CLEAR,Not for use by third-party applications.,
MEDIA_CONTENT_CONTROL,Allows an application to know what content is playing and control its playback.,
MODIFY_AUDIO_SETTINGS,Lar appen endre globale lydinnstillinger slik som volum og hvilken høyttaler som brukes for lydavspilling.,
MODIFY_PHONE_STATE,"Allows modification of the telephony state - power on, mmi, etc.",
MOUNT_FORMAT_FILESYSTEMS,Allows formatting file systems for removable storage.,
MOUNT_UNMOUNT_FILESYSTEMS,Allows mounting and unmounting file systems for removable storage.,
NFC,"Tillater en app å kommunisere med NFC-tagger,-kort og -lesere.",
PERSISTENT_ACTIVITY,This constant was deprecated in API level 9. This functionality will be removed in the future; please do not use. Allow an application to make its activities persistent.,
PROCESS_OUTGOING_CALLS,Allows an application to see the number being dialed during an outgoing call with the option to redirect the call to a different number or abort the call altogether.,
READ_CALENDAR,"Tillater appen å lese alle kalenderhendelser lagret på enheten, inkludert hendelser til venner, eller kollegaer. Dette tillater appen å dele eller lagre kalenderhendelsene dine, inkludert konfidensiell eller sensitiv informasjon.",
READ_CALL_LOG,Lar appen lese samtaleloggen på telefonen din. Dette omfatter informasjon om innkommende og utgående anrop. Denne tillatelsen lar apper lagre all samtaleinformasjonen din. Merk at skadelige apper kan dele informasjonen uten at du har samtykket.,
READ_CONTACTS,"Lar appen lese informasjon om kontaktene lagret på telefonen din, inkludert hvor ofte du har ringt, sendt e-post til eller på andre måter kommunisert med spesifikke personer. Denne tillatelsen lar apper lagre kontaktdata. Merk at skadelige apper kan dele disse datene uten at du vet om det.",
READ_EXTERNAL_STORAGE,Lar appen lese innhold på SD-kortet ditt.,
READ_FRAME_BUFFER,Allows an application to take screen shots and more generally get access to the frame buffer data.,
READ_HISTORY_BOOKMARKS,"Lar appen lese loggen for alle nettadressene nettleseren har besøkt, og alle bokmerkene i nettleseren. Vær oppmerksom på at denne tillatensen kanskje ikke benyttes av tredjepartsnettlesere eller andre apper med mulighet for nettsurfing.",
READ_INPUT_STATE,This constant was deprecated in API level 16. The API that used this permission has been removed.,
READ_LOGS,Allows an application to read the low-level system log files.,
READ_PHONE_STATE,"Lar appen bruke enhetens telefonfunksjoner. Med denne tillatelsen kan appen finne telefonnummer og enhets-ID-er, registrere om en samtale pågår, og se det eksterne nummeret det opprettes en forbindelse med via oppringing.",
READ_PROFILE,"Tillater apper å lese personlig profilinformasjon som er lagret på enheten din, for eksempel navn og kontaktinformasjon. Dette betyr at apper kan identifisere deg og muligens sende profilinformasjonen din til andre.",
READ_SMS,"Lar appen lese tekstmeldinger lagret på telefonen eller SIM-kortet ditt. Dette lar appen lese alle tekstmeldingene dine, uavhengig av innhold og konfidensialitet.",
READ_SOCIAL_STREAM,This constant was deprecated in API level 21. This functionality will be unsupported in the future; cursors returned will be empty. Please do not use.,
READ_SYNC_SETTINGS,"Tillater en app å lese synkroniseringsinnstillingene, som for eksempel synkronisering er aktivert for Kontaker.",
READ_SYNC_STATS,Tillater en app å lese synkroniseringsstatistikken. For eksempel historikken for synkronseringer som er foretatt.,
READ_USER_DICTIONARY,"Tillater en app å lese private ord, navn og fraser som brukeren kan ha lagret i brukerordboken.",
READ_VOICEMAIL,Allows an application to read voicemails in the system.,
REBOOT,Required to be able to reboot the device.,
RECEIVE_BOOT_COMPLETED,"Tillater en app å starte selv når systemet er ferdig med oppstart. Dette kan gjøre at det tar lenger tid å starte telefonen, og tillater appen å sinke resten av telefonen ved å alltid kjøre.",
RECEIVE_MMS,Lar appen motta og behandle multimediameldinger. Dette betyr at appen kan overvåke eller slette meldinger som er sendt til enheten din uten at du har sett den.,
RECEIVE_SMS,Lar appen motta og behandle tekstmeldinger. Dette betyr at appen kan overvåke eller slette meldinger som er sendt til enheten din uten at du har sett den.,
RECEIVE_WAP_PUSH,Lar apper godta meldinger fra tjenersky til enheten som er sendt av appens tjeneste Databruk påløper ved bruk av denne tjenesten. Skadelige apper kan medføre overdreven databruk.,
RECORD_AUDIO,Tillater en app å få tilgang til lydinnspillingsbanen.,
REORDER_TASKS,Lar appen hente informasjon om oppgaver som kjører og som har nylig kjørt. Dette kan tillate appen å oppdate informasjon om hvilke apper som brukes på enheten.,
RESTART_PACKAGES,This constant was deprecated in API level 8. The restartPackage(String) API is no longer supported.,
SEND_RESPOND_VIA_MESSAGE,Allows an application (Phone) to send a request to other applications to handle the respond-via-message action during incoming calls.,
SEND_SMS,Tillater en app å sende SMS-meldinger. Onsinnende apper kan koste deg penger ved at de sender meldinger uten din bekreftelse,
SET_ACTIVITY_WATCHER,Allows an application to watch and control how activities are started globally in the system.,
SET_ALARM,Allows an application to broadcast an Intent to set an alarm for the user.,
SET_ALWAYS_FINISH,Allows an application to control whether activities are immediately finished when put in the background.,
SET_ANIMATION_SCALE,Modify the global animation scaling factor.,
SET_DEBUG_APP,Configure an application for debugging.,
SET_ORIENTATION,Allows low-level access to setting the orientation (actually rotation) of the screen.,
SET_POINTER_SPEED,Allows low-level access to setting the pointer speed.,
SET_PREFERRED_APPLICATIONS,"This constant was deprecated in API level 7. No longer useful, seeaddPackageToPreferred(String) for details.",
SET_PROCESS_LIMIT,Allows an application to set the maximum number of (not needed) application processes that can be running.,
SET_TIME,Allows applications to set the system time.,
SET_TIME_ZONE,Allows applications to set the system time zone,
SET_WALLPAPER,Allows applications to set the wallpaper,
SET_WALLPAPER_HINTS,Allows applications to set the wallpaper hints,
SIGNAL_PERSISTENT_PROCESSES,Allow an application to request that a signal be sent to all persistent processes.,
STATUS_BAR,"Allows an application to open, close, or disable the status bar and its icons.",
SUBSCRIBED_FEEDS_READ,Tillater en app å hente opplysninger om nylig synkroniserte feeder.,
SUBSCRIBED_FEEDS_WRITE,Tillater en app å endre dine aktuelle synkroniserte feeder. Hvis de får tillatelse kan ondsinnede apper endre dine synkroniserte feeder.,
SYSTEM_ALERT_WINDOW,Gir apper tillatelse til å vises over andre apper eller redigere brukergrensesnittet i dem. Dette kan forstyrre bruken av andre apper eller endre hva du ser når du bruker dem.,
TRANSMIT_IR,"Allows using the device's IR transmitter, if available",
UNINSTALL_SHORTCUT,Allows an application to uninstall a shortcut in Launcher,
UPDATE_DEVICE_STATS,Allows an application to update device statistics.,
USE_CREDENTIALS,,
USE_SIP,Allows an application to use SIP service,
VIBRATE,Tillater appen å kontrollere vibratoren.,
WAKE_LOCK,Tillater en app å hindre at telefonen går i hvilemodus.,
WRITE_APN_SETTINGS,Allows applications to write the apn settings.,
WRITE_CALENDAR,Allows an application to write (but not read) the user's calendar data.,
WRITE_CALL_LOG,Allows an application to write (but not read) the user's contacts data.,
WRITE_CONTACTS,Allows an application to write (but not read) the user's contacts data.,
WRITE_EXTERNAL_STORAGE,Lar appen skrive til SD-kortet.,
WRITE_GSERVICES,Allows an application to modify the Google service map.,
WRITE_HISTORY_BOOKMARKS,Lar appen endre nettleserens logg eller bokmerker lagret på telefonen din. Dette kan medføre til at appen sletter eller endrer nettleserdata. Væær oppmerksom på at denne tillatelsen kanskje ikke benyttes av tredjepartsnettlesere eller andre apper med mulighet for nettsurfing.,
WRITE_PROFILE,Allows an application to write (but not read) the user's personal profile data.,
WRITE_SECURE_SETTINGS,Tillater en app å endre systemets sikkerhetsinnstillinger,
WRITE_SETTINGS,Allows an application to read or write the system settings.,
WRITE_SMS,"Tillater appen å legge til, slette eller endre SMS-meldinger på enheten eller SIM-kortet. Ondsinnede apper kan slette meldingene dine.",
WRITE_SOCIAL_STREAM,This constant was deprecated in API level 21. This functionality will be unsupported in the future; cursors returned will be empty. Please do not use.,
WRITE_SYNC_SETTINGS,"Lar appen endre synkroniseringsinnstillingene for en konto. For eksempel kan dette brukes til å synkronisere Personer-appen med en konto,",
WRITE_USER_DICTIONARY,Tillatter en applikasjon tilgang til å oppdaterel enhetens ordbok.,
WRITE_VOICEMAIL,Allows an application to modify and remove existing voicemails in the system,
